label,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,id
0,web caching for database applications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",sigmod conference,2002,form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",very large data bases,2001,1218
0,enabling dynamic content caching for database-driven web sites,"qiong luo , divyakant agrawal , wen-syan li , wang-pin hsiung , k. selçuk candan",sigmod conference,2001,form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",very large data bases,2001,3565
0,homer : a model-based case tool for data-intensive web sites,"paolo atzeni , paolo merialdo , marco pecorone , marco magnante , giansalvatore mecca",sigmod conference,2000,form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",very large data bases,2001,1936
0,a predicate-based caching scheme for client-server database architectures,"julie basu , arthur m. keller",vldb j.,1996,form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",very large data bases,2001,7217
1,form-based proxy caching for database-backed web sites,"jeffrey f. naughton , qiong luo",vldb,2001,form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",very large data bases,2001,660
0,caching strategies for data-intensive web sites,"khaled yagoub , patrick valduriez , valérie issarny , daniela florescu",vldb,2000,form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",very large data bases,2001,301
0,web caching for database applications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",sigmod conference,2002,middle-tier database caching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,2159
0,form-based proxy caching for database-backed web sites,"jeffrey f. naughton , qiong luo",vldb,2001,middle-tier database caching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,2101
0,dbcache : database caching for web application servers,"sailesh krishnamurthy , c. mohan , larry brown , hamid pirahesh , mehmet altinel , honguk woo , qiong luo , bruce g. lindsay",sigmod conference,2002,middle-tier database caching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,4733
1,middle-tier database caching for e-business,"hamid pirahesh , c. mohan , jeffrey f. naughton , sailesh krishnamurthy , honguk woo , qiong luo , bruce g. lindsay",sigmod conference,2002,middle-tier database caching for e-business,"qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",international conference on management of data,2002,3746
0,web caching for database applications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",sigmod conference,2002,building scalable internet applications with oracle8i server,"julie basu , jos &#233; alberto fern &#225; ndez , olga peschansky",very large data bases,2000,3717
0,building notification services with microsoft sqlserver,praveen seshadri,sigmod conference,2003,building scalable internet applications with oracle8i server,"julie basu , jos &#233; alberto fern &#225; ndez , olga peschansky",very large data bases,2000,1480
1,building scalable internet applications with oracle8i server,"olga peschansky , josé alberto fernández , julie basu",vldb,2000,building scalable internet applications with oracle8i server,"julie basu , jos &#233; alberto fern &#225; ndez , olga peschansky",very large data bases,2000,799
