label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,id
1,microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,129.95,24
1,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,visual studio pro 2005 upgrade ( pc ) microsoft,,549.0,123
1,microsoft word 2004 ( mac ),microsoft,229.99,microsoft word 2004,,209.99,174
1,microsoft office 2004 standard ( mac ),microsoft,399.99,microsoft office 2004 standard,,369.99,227
1,microsoft word 2007 version upgrade,microsoft,109.95,microsoft word 2007 upgrade ( pc ),,109.95,256
1,microsoft onenote 2007 upgrade,microsoft,79.95,microsoft onenote 2007 upgrade ( pc ),,79.95,457
1,microsoft student with encarta premium 2008 dvd,microsoft,49.95,microsoft student with encarta premium 2008 complete package,,43.6,518
1,microsoft office small business 2007 full version,microsoft,449.95,microsoft w87-02380 office sbe 2007 win32,,400.34,522
1,microsoft office small business 2007,microsoft software,735.33,microsoft w87-02380 office sbe 2007 win32,,400.34,523
1,microsoft mappoint 2006 with gps,microsoft,349.0,microsoft mappoint 2006 with gps locator ( pc ),,349.99,561
1,microsoft office 2004 standard ( mac ),microsoft,399.99,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,594
1,microsoft powerpoint 2004 ( mac ),microsoft,229.99,microsoft powerpoint 2004 software mac apple & mac software,,228.95,654
1,ae mappoint 2006 cd,microsoft corp,49.95,microsoft b21-00806 ae mappoint 2006 cd,,50.39,670
1,adobe flash pro cs3 [ mac ],adobe,699.0,adobe flash cs3 professional ( mac ),,699.0,684
1,adobe flash pro cs3 [ mac ],adobe,699.0,adobe cs3 flash professional,,724.99,703
1,microspot macdraft professional ( mac ),microspot ltd.,349.99,microspot macdraft professional edition,,249.99,788
1,adobe after effects cs3,adobe,999.0,adobe after effects cs3 professional software for mac effects software,,998.95,811
1,adobe acrobat standard 8.0,adobe,449.99,adobe acrobat v8 .0 professional for mac,,405.99,833
1,omnioutliner professional 3.0,csdc,69.95,omnioutliner professional 3.0 for mac,,69.99,867
1,i copy dvds 2 professional edition,me-too-software,69.99,i copydvds 2 professional edition,me-too-software,27.9,875
1,acrobat professional 8 mac upsell standard-professional,adobe,273.0,adobe acrobat v8 .0 professional for mac upsell from std-pro,,145.99,893
1,adobe premiere pro cs3,adobe,799.0,adobe premiere pro cs3 video editing software for windows professional editing software,,798.95,895
1,diskeeper 2007 professional single lic pack,diskeeper corporation,79.21,diskeeper 2007 professional,,46.95,907
1,motu digital performer 5 digital audio software competitive upgrade ( mac only ),motu,395.0,motu digital performer dp5 software music production software,,319.95,921
1,illustrator cs3 13 mac ed 1u,adobe-education-box,199.0,adobe illustrator cs3 for mac academic,adobe-education-box,199.99,933
1,adobe illustrator cs3 [ mac ],adobe,599.0,adobe illustrator cs3 ( mac ),,599.0,948
1,adobe illustrator cs3 [ mac ],adobe,599.0,adobe illustrator cs3 for mac,,619.99,962
1,adobe illustrator cs3 upgrade [ mac ],adobe,199.0,adobe illustrator cs3 upgrade for mac,,206.99,976
1,quickbooks simple start 2007,intuit,99.95,intuit quickbooks simple start edition 2007 software for windows tax & finance software,,83.95,1037
1,quickbooks premier professional services edition 2007,intuit,399.95,intuit quickbooks premier professional services edition 2007 software win tax & finance software,,349.95,1039
1,quickbooks premier non-profit edition 2005,intuit inc.,499.95,intuit inc 284216 qckbks prem nonprofit ed 2005,,404.0,1071
1,mavis beacon teaches typing 17 standard,encore software,19.99,broderbund mavis beacon teaches typing standard17,,22.99,1083
1,mavis beacon teaches typing deluxe v17,encore software,39.99,mavis beacon teaches typing v17 deluxe pc/mac,,29.9,1087
1,mavis beacon teaches typing 16,broderbund,19.99,mavis beacon 16,,17.9,1102
1,mavis beacon 17 standard,encore software,19.95,mavis beacon teaches typing 17 standard ( pc/mac ) encore,,19.99,1113
1,mavis beacon typing 17 ( win/mac ),encore software,19.99,encore software 10076 mavis beacon typing 17 standardby broderbund,,17.97,1116
1,adobe creative suite cs3 design premium [ mac ],adobe,1799.0,adobe cs3 design premium upsell,,1639.99,1135
1,adobe premiere pro cs3,adobe,799.0,adobe premiere pro cs3 software with encore cs3 and onlocation cs3 ( windows only ) full version for windows,,723.95,1144
1,dreamweaver cs3 9 mac ed 1u,adobe-education-box,199.0,adobe dreamweaver cs3 academic,adobe-education-box,195.99,1175
1,adobe premiere pro cs3,adobe,799.0,adobe premiere pro cs3 software with encore cs3 and onlocation cs3 ( windows only ) full version for macintosh,,723.95,1231
1,adobe premiere pro cs3 upgrade,adobe,299.0,premiere pro cs3 mac upgrade,,320.25,1234
1,adobe creative suite cs3 design premium upgrade [ mac ],adobe,599.0,adobe cs3 design premium upgrade,,619.99,1255
1,adobe creative suite cs3 production premium,adobe,1699.0,adobe cs3 production premium,,1749.99,1326
1,adobe photoshop cs3 upgrade [ mac ],adobe,199.0,adobe photoshop cs3 for mac upgrade,,189.99,1377
